[+] Containers:
 |- [+] Container: /Game/FirstPerson/Maps/FirstPersonMap
 |   |- [+] ActorDescs:
 |   |   |- Guid:0032E6B040FE50A056BA71B664F77CFE BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1628981959 Label:Cube SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=2963.320 Y=-15717.898 Z=10403.050), Max=(X=3141.611 Y=-15539.607 Z=10581.341) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:014139064B272AE31FF877B819CB5734 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_8 Label:SM_ChamferCube3 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=257.548 Y=2127.548 Z=0.063), Max=(X=462.452 Y=2332.452 Z=150.063) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:SimulatedCubes FolderGuid:9AEEADCB4DC6C647D6E7C0B4EDA1744F
 |   |   |- Guid:02B41B834074ACA34A63C7B613F0142C BaseClass:/Game/FirstPerson/Blueprints/BP_Pickup_Rifle.BP_Pickup_Rifle_C NativeClass:/Script/Engine.Actor Name:BP_Rifle_C_UAID_047C16CBB15337AE01_1353192698 Label:BP_Pickup_Rifle8 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-593.001 Y=-10267.803 Z=10443.514), Max=(X=-529.001 Y=-10178.363 Z=10507.514) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0
 |   |   |- Guid:060CB73F402922367509E4BB7525BBE8 BaseClass: NativeClass:/Script/Engine.PointLight Name:PointLight_UAID_047C16CBB15332AE01_2086590774 Label:PointLight2 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-1713.204 Y=-18621.621 Z=8830.012), Max=(X=286.796 Y=-16621.621 Z=10830.012) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:06A243444FBD5D1BD7C6AC85BD6B79A3 BaseClass: NativeClass:/Script/Engine.PointLight Name:PointLight_UAID_047C16CBB15333AE01_1546207957 Label:PointLight5 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-1945.930 Y=-24676.874 Z=10035.459), Max=(X=54.070 Y=-22676.874 Z=12035.459) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:08E86D9949B50894A5D54AA3A8C88E86 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1802983970 Label:Cube9 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-4020.800 Y=-14928.010 Z=10403.050), Max=(X=-3842.510 Y=-14749.720 Z=10581.341) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:09E3875649EDB49882A9A6B22080419F BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1850509976 Label:Cube15 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-3179.920 Y=-17019.173 Z=10403.050), Max=(X=-3001.629 Y=-16840.883 Z=10581.341) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:09EB01FE4C96A434E7561793BD6770E5 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_22 Label:SM_QuarterCylinder5 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=600.000 Y=2800.000 Z=0.000), Max=(X=700.000 Y=2900.000 Z=200.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Block03 FolderGuid:0C5AB36945998C19C9EA9283402A8E02
 |   |   |- Guid:0A5A00964F6FC2522E316D9F43F54014 BaseClass: NativeClass:/Script/Engine.PlayerStart Name:PlayerStart_UAID_047C16CBB15336AE01_1766839513 Label:PlayerStart2 SpatiallyLoaded:0 Bounds:IsValid=true, Min=(X=-1249.554 Y=-23308.735 Z=10580.921), Max=(X=-609.554 Y=-22668.735 Z=12052.921) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:0 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:0B0C0BA84D9C653015BD4EB3B217F9D6 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_18 Label:SM_QuarterCylinder2 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=1200.000 Y=1600.000 Z=0.000), Max=(X=1300.000 Y=1700.000 Z=200.000) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Block04 FolderGuid:D00C3F324D055BED943FA6B0235C7FA2
 |   |   |- Guid:155E6A524FE7CC063EC1C6A87F1CE2C6 BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1792072969 Label:Cube8 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-4605.308 Y=-14492.549 Z=10408.010), Max=(X=-4421.040 Y=-14308.511 Z=10450.385) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:15F9D905484C19A8213CB7AD271487DC BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1525030956 Label:Plane3 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-1844.352 Y=-25186.152 Z=10402.022), Max=(X=555.648 Y=-22786.152 Z=10402.022) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:174B74884252213CB647B0A799DA222E BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15333AE01_1666617961 Label:Cube3 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=1344.932 Y=-15206.903 Z=10403.050), Max=(X=1523.222 Y=-15028.612 Z=10581.341) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 Parent:4D5B035C4250CDC555A4A69A14225DBE FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
 |   |   |- Guid:18C4559945CD7FEEEBABEBBB47ACA98D BaseClass: NativeClass:/Script/Engine.StaticMeshActor Name:StaticMeshActor_UAID_047C16CBB15330AE01_2046459407 Label:SM_OuterBuilding_SM_OuterBuilding_3 SpatiallyLoaded:1 Bounds:IsValid=true, Min=(X=-594.912 Y=-21004.334 Z=10138.195), Max=(X=2593.485 Y=-19084.715 Z=11670.643) RuntimeGrid:None EditorOnly:0 RuntimeOnly:0 HLODRelevant:1 ListedInSceneOutliner:1 IsMainWorldOnly:0 FolderPath:Lotus_Reach FolderGuid:334594B74ED9E6A9F8D7F8B8EEAE77B7
